Game title,Epic Games rating,Number of raters,Bayes rating
Red Dead Redemption 2,"4,9",102658,"4,87"
Satisfactory,"4,88",29401,"4,79"
The Witcher 3: Wild Hunt - Game of the Year Edition,"4,89",14665,"4,74"
Marvel's Spider-Man Remastered,"4,88",14015,"4,73"
FINAL FANTASY VII REMAKE INTERGRADE,"4,85",15120,"4,72"
Football Manager 2022,"4,8",19160,"4,71"
HITMAN 3,"4,79",21082,"4,71"
Sid Meier’s Civilization® VI,"4,73",57866,"4,7"
Grand Theft Auto V: Premium Edition,"4,69",573831,"4,69"
SnowRunner,"4,76",21349,"4,69"
Genshin Impact,"4,69",219180,"4,68"
Enter the Gungeon,"4,86",8617,"4,68"
Borderlands 3,"4,69",151211,"4,68"
Hades,"4,92",6336,"4,68"
Subnautica,"4,83",7928,"4,66"
Borderlands 2,"4,76",13386,"4,66"
Sifu,"4,8",9492,"4,66"
Batman Arkham Knight,"4,82",7386,"4,65"
Farming Simulator 19,"4,72",16706,"4,65"
Rise of the Tomb Raider: 20 Year Celebration,"4,69",28216,"4,65"
God of War,"4,89",4943,"4,65"
Metro Exodus Standard Edition,"4,8",7529,"4,65"
Slime Rancher,"4,84",5898,"4,65"
Shadow of the Tomb Raider: Definitive Edition,"4,65",77497,"4,64"
Frostpunk,"4,73",11240,"4,64"
BioShock Infinite: Complete Edition,"4,69",18329,"4,63"
Horizon Zero Dawn™ Complete Edition,"4,77",7175,"4,63"
Tomb Raider GAME OF THE YEAR EDITION,"4,67",20961,"4,63"
Detroit: Become Human,"4,87",3910,"4,63"
Into the Breach,"4,85",4082,"4,62"
Anno 1800 Standard Edition,"4,82",4392,"4,62"
Cities: Skylines,"4,65",25248,"4,62"
KINGDOM HEARTS HD 1.5+2.5 ReMIX,"4,82",4283,"4,62"
Kingdom Come: Deliverance,"4,71",9133,"4,62"
Farming Simulator 22,"4,72",7683,"4,61"
BioShock Remastered,"4,64",24195,"4,61"
Celeste,"4,92",2543,"4,61"
Metro Last Light Redux,"4,73",6367,"4,61"
PC Building Simulator,"4,67",12155,"4,61"
Darkest Dungeon®,"4,75",5428,"4,61"
Unrailed!,"4,64",21990,"4,61"
Mount & Blade II: Bannerlord,"4,74",5603,"4,61"
Overcooked! 2,"4,75",5157,"4,61"
Assassins Creed Odyssey Standard Edition,"4,74",5481,"4,61"
A Plague Tale: Innocence,"4,67",10904,"4,6"
Europa Universalis IV,"4,69",8414,"4,6"
DEATH STRANDING DIRECTOR'S CUT,"4,84",3099,"4,6"
ARK: Survival Evolved,"4,62",35570,"4,6"
Neon Abyss,"4,68",8340,"4,6"
The Long Dark,"4,74",4814,"4,6"
Darkest Dungeon II,"4,67",7767,"4,59"
Trackmania,"4,68",6825,"4,59"
For The King,"4,7",5563,"4,59"
Chivalry 2,"4,62",18078,"4,59"
Supraland,"4,61",25175,"4,59"
Loop Hero,"4,68",6301,"4,59"
Riders Republic,"4,73",4120,"4,59"
The Binding of Isaac: Repentance,"4,9",1859,"4,59"
Warframe,"4,63",12660,"4,59"
Jurassic World Evolution 2,"4,74",3746,"4,59"
Batman Arkham City Game of the Year Edition,"4,79",2832,"4,59"
Metro 2033 Redux,"4,68",5684,"4,59"
LEGO® Star Wars™: The Skywalker Saga,"4,8",2536,"4,59"
Nioh 2 – The Complete Edition,"4,79",2526,"4,58"
Jurassic World Evolution,"4,63",9223,"4,58"
Days Gone,"4,7",3949,"4,58"
Sonic Mania,"4,79",2185,"4,58"
Wolfenstein: The New Order,"4,58",61135,"4,57"
Disco Elysium,"4,86",1611,"4,58"
Control,"4,6",16122,"4,57"
Assassin's Creed Origins Standard Edition,"4,69",3843,"4,58"
DOOM 64,"4,66",5134,"4,58"
HITMAN,"4,64",6362,"4,57"
Dying Light Enhanced Edition,"4,71",3181,"4,57"
Against the Storm,"4,81",1845,"4,57"
KINGDOM HEARTS III + Re Mind,"4,79",2011,"4,57"
Ooblets,"4,87",1446,"4,57"
Elite Dangerous,"4,63",6856,"4,57"
Prey,"4,6",13217,"4,57"
Totally Accurate Battle Simulator,"4,77",2102,"4,57"
Dead Cells,"4,88",1319,"4,57"
Risk of Rain 2,"4,87",1310,"4,57"
Subnautica Below Zero,"4,78",1844,"4,57"
Among Us,"4,58",26171,"4,57"
Wargame: Red Dragon,"4,7",2918,"4,57"
Rogue Legacy 2,"4,86",1331,"4,57"
Kena: Bridge of Spirits,"4,68",3313,"4,57"
theHunter: Call of the Wild™,"4,59",14635,"4,57"
MultiVersus,"4,57",55748,"4,56"
My Time At Portia,"4,66",3894,"4,57"
Remnant: From the Ashes,"4,59",12107,"4,56"
Tony Hawk's™ Pro Skater™ 1 + 2,"4,83",1298,"4,57"
Cyberpunk 2077,"4,57",32700,"4,56"
Assassin's Creed® Valhalla Standard Edition,"4,58",12317,"4,56"
Tiny Tina's Wonderlands,"4,57",20753,"4,56"
Total War: WARHAMMER II,"4,81",1169,"4,56"
FTL: Faster Than Light,"4,8",1209,"4,56"
Total War: WARHAMMER,"4,59",8439,"4,56"
RimWorld,"4,89",870,"4,56"
Nioh: The Complete Edition,"4,58",10807,"4,56"
Pathfinder: Wrath of the Righteous,"4,76",1354,"4,56"
Pillars of Eternity - Definitive Edition,"4,65",2847,"4,56"
Dying Light 2 Stay Human,"4,59",7305,"4,56"
Ring of Pain,"4,57",15086,"4,55"
Oxygen Not Included,"4,85",897,"4,56"
Alien: Isolation,"4,6",5222,"4,56"
Rainbow Six Siege Standard Edition,"4,58",8669,"4,55"
Outer Wilds,"4,9",726,"4,56"
MudRunner,"4,63",3155,"4,56"
Disney Dreamlight Valley,"4,73",1396,"4,56"
State of Decay 2: Juggernaut Edition,"4,73",1354,"4,56"
INSIDE,"4,7",1592,"4,55"
Batman Arkham Asylum Game of the Year Edition,"4,66",2164,"4,55"
Rising Storm 2: Vietnam,"4,63",2871,"4,55"
Inscryption,"4,85",771,"4,55"
VALORANT,"4,55",157172,"4,55"
Prison Architect,"4,6",4491,"4,55"
MechWarrior 5: Mercenaries Standard Edition,"4,6",4280,"4,55"
Surviving Mars,"4,61",3483,"4,55"
World War Z Aftermath,"4,56",17073,"4,55"
The Crew 2 Standard Edition,"4,65",2083,"4,55"
Watch Dogs 2 Standard Edition,"4,58",6460,"4,55"
The Outer Worlds,"4,63",2487,"4,55"
Ghostrunner,"4,74",1047,"4,55"
Dungeons 3,"4,67",1635,"4,55"
The Walking Dead : The Definitive Series,"4,85",663,"4,55"
This War of Mine,"4,73",1090,"4,55"
Salt and Sanctuary,"4,61",3114,"4,55"
Path of Exile,"4,61",3102,"4,55"
House Flipper,"4,72",1023,"4,55"
Marvel's Guardians of the Galaxy,"4,74",898,"4,55"
Moonlighter,"4,7",1098,"4,55"
Nuclear Throne,"4,81",631,"4,55"
Mafia : Definitive Edition,"4,62",2035,"4,55"
Unreal Tournament,"4,68",1070,"4,55"
Rogue Legacy,"4,61",2133,"4,55"
The Wolf Among Us,"4,83",511,"4,55"
Fall Guys,"4,54",1046587,"4,54"
Diabotical,"4,79",572,"4,55"
Rocket League®,"4,54",366020,"4,54"
The Messenger,"4,79",561,"4,55"
Far Cry 5 Standard Edition,"4,61",1848,"4,54"
My Time at Sandrock,"4,68",892,"4,54"
Bugsnax,"4,83",425,"4,54"
Old World,"4,63",1307,"4,54"
Barony,"4,69",763,"4,54"
Shadow Tactics: Blades of the Shogun,"4,77",495,"4,54"
Zombie Army 4: Dead War,"4,69",743,"4,54"
